Author Name,First Name,Gender,Probability,Reliable,Publication_Count,Article_1,Article_2,Article_3,Article_4,Article_5,Article_6,Article_7,Article_8,Article_9,Article_10,Article_11,Article_12,Article_13,Article_14,Article_15,Article_16,Article_17,Article_18,Article_19,Article_20,Article_21,Article_22,Article_23,Article_24,Article_25,Article_26,Article_27,Article_28,Article_29,Article_30,Article_31,Article_32,Article_33,Article_34,Article_35,Article_36,Article_37,Article_38,Article_39,Article_40,Article_41,Article_42,Article_43,Article_44,Article_45,Article_46,Article_47,Article_48,Article_49,Article_50,Article_51,Article_52,Article_53,Article_54,Article_55,Article_56,Article_57,Article_58,Article_59,Article_60,Article_61,Article_62,Article_63,Article_64,Article_65,Article_66,Article_67,Article_68,Article_69,Article_70,Article_71,Article_72,Article_73,Article_74,Article_75,Article_76,Article_77,Article_78,Article_79,End_Marker
"Da Veiga, Claudimar P.",Claudimar,male,0.9817273562371496,True,1,A proposal for a BPR based method applied to higher education institutions,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Da Xu, Li",Li,female,0.9821247080400132,True,4,Service Workflow: State-of-the-Art and Future Trends,Blockchain-as-a-Service for Business Process Management: Survey and Challenges,Blockchain-based business process management (BPM) framework for service composition in industry 4.0,Engineering informatics and industrial information integration engineering,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daassa, Asma",Asma,female,0.9999509248063684,True,1,A MULTI-SENSOR APPROACH TO BUSINESS PROCESS MANAGEMENT: APPLICATION FOR THE HEALTH CARE FIELD,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dadam, Peter",Peter,male,0.9999580684529622,True,4,CoopIS 2012 PC co-chairs message,CoopIS 2012 PC co-chairs message,Baking business process implementations flexible and robust: Error handling in the aristaflow bpm suite,Robust and flexible error handling in the AristaFlow BPM suite,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dadashnia, Sharam",Sharam,male,0.9940296761174814,True,1,Business process management for Industry 4.0-Three application cases in the DFKI-Smart-Lego-Factory,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dahchour, Mohamed",Mohamed,male,0.9999971268152898,True,3,Short paper: BPMN process analysis: A formal validation and verification eclipse plugin for BPMN process models,DataFlow analysis in BPMN models,Liveness and reachability analysis of BPMN process models,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daher, Suzana F.D",Suzana,female,0.9999977992818364,True,1,New patents on business process management information systems and decision support,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dahman, Karim",Karim,male,0.9982261835394264,True,2,Towards Consistency Management for a Business-Driven Development of SOA,Generation of Component Based Architecture from Business Processes: Model Driven Engineering for SOA,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dai, Fei",Fei,unknown,0.524875276973862,False,3,IIoT Mobile Business Data Placement Strategy Based on Bayesian Optimization Algorithm,Automatic Recognition of Business Process Images,An Intelligent Resource Scheduling Method with Edge Channel Deployment for BPM,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dai, Qiongjie",Qiongjie,female,0.9442785573585,True,1,Investigating the impact of collaborative patterns on business process performance: A large scale emprical study perspective,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
