RecPro: A User-Centric Recommendation Tool for Business Process Execution,"Jablonski, Stefan",Stefan,male,0.9999831604184807,True
WATCH-BPM-Comparison of a WATCH-Type Blood Pressure Monitor with a Conventional Ambulatory Blood Pressure Monitor and Auscultatory Sphygmomanometry,"Vaseekaran, Mathini",Mathini,female,0.9774089896449222,True
WATCH-BPM-Comparison of a WATCH-Type Blood Pressure Monitor with a Conventional Ambulatory Blood Pressure Monitor and Auscultatory Sphygmomanometry,"Kaese, Sven",Sven,male,0.9999829597136491,True
WATCH-BPM-Comparison of a WATCH-Type Blood Pressure Monitor with a Conventional Ambulatory Blood Pressure Monitor and Auscultatory Sphygmomanometry,"Görlich, Dennis",Dennis,male,0.9999370030396483,True
WATCH-BPM-Comparison of a WATCH-Type Blood Pressure Monitor with a Conventional Ambulatory Blood Pressure Monitor and Auscultatory Sphygmomanometry,"Wiemer, Marcus",Marcus,male,0.9999591517595477,True
WATCH-BPM-Comparison of a WATCH-Type Blood Pressure Monitor with a Conventional Ambulatory Blood Pressure Monitor and Auscultatory Sphygmomanometry,"Samol, Alexander",Alexander,male,0.9999914495946162,True
A Systematic Literature Review of the Analysis of Costs and Other Dimensions in Process Mining and Related Disciplines,"Velásquez, Ignacio",Ignacio,male,0.9999054231007377,True
A Systematic Literature Review of the Analysis of Costs and Other Dimensions in Process Mining and Related Disciplines,"Gómez-Herrera, Mario",Mario,male,0.9998285831560244,True
A Systematic Literature Review of the Analysis of Costs and Other Dimensions in Process Mining and Related Disciplines,"Sepúlveda, Marcos",Marcos,male,0.9999676793806923,True
The Moderating Role of Organizational Size on Business Process Management Culture of Government Organizations in Indonesia,"Chandra, Alvisi Aura",Alvisi,male,0.8959543830451828,True
The Moderating Role of Organizational Size on Business Process Management Culture of Government Organizations in Indonesia,"Mahendrawati, E.R.",E.R.,male,0.8758226920856986,True
Workplace performance measurement: digitalization of work observation and analysis,"Nesterak, Janusz",Janusz,male,0.9999140557101467,True
Workplace performance measurement: digitalization of work observation and analysis,"Szelągowski, Marek",Marek,male,0.9999483104588682,True
Workplace performance measurement: digitalization of work observation and analysis,"Radziszewski, Przemysław",Przemysław,male,0.9999644532891853,True
From process mining to augmented process execution,"Chapela-Campa, David",David,male,0.9999952928042082,True
From process mining to augmented process execution,"Dumas, Marlon",Marlon,male,0.9996458113945667,True
Systematic Exploitation of Parallel Task Execution in Business Processes,"Varvoutas, Konstantinos",Konstantinos,male,0.9999558085455126,True
Systematic Exploitation of Parallel Task Execution in Business Processes,"Kougka, Georgia",Georgia,female,0.9999481351356873,True
Systematic Exploitation of Parallel Task Execution in Business Processes,"Gounaris, Anastasios",Anastasios,male,0.9999260027730631,True
The Influence of Business Process Management System Implementation on an Organization’s Process Orientation: A Case Study of a Financial Service Provider,"Ozkan, Baris",Baris,male,0.9990708820550116,True
The Influence of Business Process Management System Implementation on an Organization’s Process Orientation: A Case Study of a Financial Service Provider,"Koops, Marijn",Marijn,unknown,0.6991258488869239,False
The Influence of Business Process Management System Implementation on an Organization’s Process Orientation: A Case Study of a Financial Service Provider,"Türetken, Oktay",Oktay,male,0.9999202279726761,True
The Influence of Business Process Management System Implementation on an Organization’s Process Orientation: A Case Study of a Financial Service Provider,"Reijers, Hajo A.",Hajo,unknown,0.6060434118944652,False
Integration of Process Modeling and Six Sigma for defect reduction: A case study in a wind blade factory,"Oliveira, Daniela",Daniela,female,0.9999978509319162,True
Integration of Process Modeling and Six Sigma for defect reduction: A case study in a wind blade factory,"Teixeira, Leonor",Leonor,female,0.9993597118914996,True
Integration of Process Modeling and Six Sigma for defect reduction: A case study in a wind blade factory,"Alvelos, Helena",Helena,female,0.9999966259393464,True
Integrating Social Media and Business Process Management: Exploring the Role of AI Agents and the Benefits for Agility,"Majidian Eidgahi, Mehran",Mehran,male,0.9999432898366007,True
Integrating Social Media and Business Process Management: Exploring the Role of AI Agents and the Benefits for Agility,"Barthe-Delanoë, Anne-Marie",Anne,female,0.9999910090887604,True
Integrating Social Media and Business Process Management: Exploring the Role of AI Agents and the Benefits for Agility,"Bork, Dominik",Dominik,male,0.9999341703754147,True
