Article Title,Author Name,First Name,Gender,Probability,Reliable
Universal Artifacts: A New Approach to Business Process Management (BPM) Systems,"Su, Jianwen",Jianwen,male,0.8837649764597039,True
Universal Artifacts: A New Approach to Business Process Management (BPM) Systems,"Yang, Jian",Jian,male,0.9975103869595472,True
The convergence of business process management and service oriented architecture,"Kamoun, Faouzi",Faouzi,male,0.9930634082777757,True
A roadmap towards the convergence of business process management and service oriented architecture,"Kamoun, Faouzi",Faouzi,male,0.9930634082777757,True
S-BPM in Surgery Simulation Training,"Ivaschenko, Anton",Anton,male,0.9999464363559706,True
S-BPM in Surgery Simulation Training,"Kolsanov, Alexandr",Alexandr,male,0.9979523611724731,True
S-BPM in Surgery Simulation Training,"Nazaryan, Aikush",Aikush,unknown,0.6159501844433659,False
Resilient Ontology Support Facilitating Multi-Perspective Process Integration in Industry 4.0,"Kaar, Claudia",Claudia,female,0.9999811583100646,True
Resilient Ontology Support Facilitating Multi-Perspective Process Integration in Industry 4.0,"Frysak, Josef",Josef,male,0.9999977561192824,True
Resilient Ontology Support Facilitating Multi-Perspective Process Integration in Industry 4.0,"Stary, Christian",Christian,male,0.9993987974523811,True
Resilient Ontology Support Facilitating Multi-Perspective Process Integration in Industry 4.0,"Kannengiesser, Udo",Udo,male,0.9993990197381508,True
Resilient Ontology Support Facilitating Multi-Perspective Process Integration in Industry 4.0,"Müller, Harald",Harald,male,0.9999263057035207,True
Fast Synthetic Data-Aware Log Generation for Temporal Declarative Models,"Bergami, Giacomo",Giacomo,male,0.9999694890720269,True
Integrating Business Processes and Manufacturing Operations Based on S-BPM and B2MML,"Kannengiesser, Udo",Udo,male,0.9993990197381508,True
Integrating Business Processes and Manufacturing Operations Based on S-BPM and B2MML,"Neubauer, Matthias",Matthias,male,0.9999337682187655,True
Integrating Business Processes and Manufacturing Operations Based on S-BPM and B2MML,"Heininger, Richard",Richard,male,0.9999944029565571,True
Reuse of models in S-BPM process specifications,"Forbrig, Peter",Peter,male,0.9999580684529622,True
Agent-Based Business Process Modeling and Execution: Steps Towards a Compiler-Virtual Machine Architecture,"Singer, Robert",Robert,male,0.9999776797436909,True
Modeling complex process systems with subject-oriented means,"Elstermann, Matthes",Matthes,unknown,0.6764015388629641,False
Modeling complex process systems with subject-oriented means,"Fleischmann, Albert",Albert,male,0.9999213683449588,True
Smart Business Processing in Industry 4.0,"Liakos, Christos",Christos,male,0.9999396981478821,True
Smart Business Processing in Industry 4.0,"Panagopoulos, Aimilios Christos",Aimilios,male,0.9967332163897169,True
Smart Business Processing in Industry 4.0,"Karkazis, Panagiotis",Panagiotis,male,0.9999221249138908,True
"Dependable data sharing in dynamic IoT-systems: subject-oriented process design, complex event processing, and blockchains","Fleischmann, Albert",Albert,male,0.9999213683449588,True
"Dependable data sharing in dynamic IoT-systems: subject-oriented process design, complex event processing, and blockchains","Stary, Christian",Christian,male,0.9993987974523811,True
Business-Actors as base components of complex and distributed software applications,"Strecker, Florian",Florian,male,0.9999672042878258,True
Business-Actors as base components of complex and distributed software applications,"Gniza, Reinhard",Reinhard,male,0.9999789678768612,True
Business-Actors as base components of complex and distributed software applications,"Hollosy, Thomas",Thomas,male,0.9999981017477207,True
Business-Actors as base components of complex and distributed software applications,"Schmatzer, Florian",Florian,male,0.9999672042878258,True
Next step recommendation and prediction based on process mining in adaptive case management,"Huber, Sebastian",Sebastian,male,0.9999469726859632,True
Next step recommendation and prediction based on process mining in adaptive case management,"Fietta, Marian",Marian,female,0.998937269301458,True
Next step recommendation and prediction based on process mining in adaptive case management,"Hof, Sebastian",Sebastian,male,0.9999469726859632,True
Towards the automated business process building by means of type theory,"Shapkin, Pavel",Pavel,male,0.9999915029945373,True
Towards the automated business process building by means of type theory,"Marenkov, Alexander",Alexander,male,0.9999914495946162,True
Towards the automated business process building by means of type theory,"Shumsky, Leonid",Leonid,male,0.999959879094152,True
Towards the automated business process building by means of type theory,"Roslovtsev, Vladimir",Vladimir,male,0.9999351319225824,True
Towards the automated business process building by means of type theory,"Wolfengagen, Viacheslav",Viacheslav,male,0.9987740955954193,True
Adaptive open innovation: solution approach and tool support,"Huber, Sebastian",Sebastian,male,0.9999469726859632,True
Adaptive open innovation: solution approach and tool support,"Schott, Peter",Peter,male,0.9999580684529622,True
Adaptive open innovation: solution approach and tool support,"Lederer, Matthias",Matthias,male,0.9999337682187655,True
Actor Based Business Process Automation via Intelligent Business Objects,"Unterberger, Florian",Florian,male,0.9999672042878258,True
Actor Based Business Process Automation via Intelligent Business Objects,"Singer, Robert",Robert,male,0.9999776797436909,True
"Process Culture: Maturity, Drivers, and Barriers","Weitlaner, Doris",Doris,female,0.9995743114631943,True
CSPm models for the ATM case study,"Hense, Andreas V.",Andreas,male,0.9999763395171621,True
Leveraging CMMN for ACM: examining the applicability of a new OMG standard for adaptive case management,"Kurz, Matthias",Matthias,male,0.9999337682187655,True
Leveraging CMMN for ACM: examining the applicability of a new OMG standard for adaptive case management,"Schmidt, Werner",Werner,male,0.9999697709027106,True
Leveraging CMMN for ACM: examining the applicability of a new OMG standard for adaptive case management,"Fleischmann, Albert",Albert,male,0.9999213683449588,True
Leveraging CMMN for ACM: examining the applicability of a new OMG standard for adaptive case management,"Lederer, Matthias",Matthias,male,0.9999337682187655,True
The Semantic Exchange Standard for Subject-Oriented Process Models,"Elstermann, Matthes",Matthes,unknown,0.6764015388629641,False
The Semantic Exchange Standard for Subject-Oriented Process Models,"Krenn, Florian",Florian,male,0.9999672042878258,True
Dealing with Process Complexity: A Multiperspective Approach,"Krenn, Florian",Florian,male,0.9999672042878258,True
