A task of behaviour modelling in execution context,2014,1,0,0,False,False,1
A Transformation-Based Approach to Business Process Management in the Cloud,2014,3,0,0,False,False,3
Uncovering the competency gap of students employed in business process analyst roles - An employer perspective,2014,2,1,0,False,False,3
Examining existing ways to electronically declare international exports to the German ATLAS system - Current barriers and proposed solution,2014,4,0,0,False,False,4
It-enabled collaborative case management - Principles and tools,2014,3,0,0,False,False,3
Changing in-flight business processes using PNMsoft's HotChange® technology,2014,2,0,0,False,False,2
Toward resilience assessment in business process architectures,2014,3,0,0,False,False,3
A magnetic rotary encoder for patterned media lithography,2014,2,0,2,False,False,4
Business process modeling for insider threat monitoring and handling,2014,4,0,0,False,False,4
Exploration and analysis of undocumented processes using heterogeneous and unstructured business data,2014,5,1,0,False,False,6
Can We Use S-BPM for Modeling Collaboration Scripts?,2014,2,0,0,False,False,2
3D Progressive Education Environment for S-BPM,2014,3,1,0,False,False,4
ProcessBase: A hybrid process management platform,2014,2,0,0,False,False,2
Tracking hot topics for the monitoring of open-world processes,2014,3,0,0,False,False,3
Breadth first search sequence based method for efficient process retrieval,2014,1,2,2,False,True,5
A literature study on the state-of-the-art of contingency research in business process management,2014,1,1,0,False,True,2
An ontological framework for context-aware collaborative business process formulation,2014,1,1,0,True,False,2
Alignment between business process governance and IT governance,2014,2,1,0,True,False,3
Production Planning for SMEs - Implementation of Production Planning with Subject-Oriented Business Process Management (S-BPM),2014,1,0,1,False,False,2
A S-BPM suite for the execution of cross company subject oriented business processes,2014,2,0,0,False,False,2
Scalable dynamic business process discovery with the constructs competition miner,2014,5,0,0,False,False,5
CFS: A behavioral similarity algorithm for process models based on complete firing sequences,2014,2,1,1,False,False,4
Complex Adaptive Systems Theory in the Context of Business Process Management,2014,2,0,0,False,False,2
Requirements engineering process improvement: Analyzing the organizational culture impact and implementing an empirical study to evaluate the benefits of improvement,2014,2,2,0,True,False,4
An IT-driven business model design methodology and its evaluation,2014,3,1,0,False,False,4
When processes alienate customers: Towards a theory of process acceptance,2014,2,0,0,False,False,2
Separating execution and data management: A key to business-process-as-a- service (BPaaS),2014,2,0,1,False,False,3
Implicit BPM: A business process platform for transparent workflow weaving,2014,4,0,0,False,False,4
Quantitative process maps: A concept for prioritization of business process improvement projects,2014,1,1,0,True,False,2
ViePEP - A BPMS for elastic processes,2014,1,0,0,False,False,1
Monitoring of business processes with complex event processing,2014,7,1,0,True,False,8
"Performances of business processes and organizational routines: Similar research problems, different research methods - A literature review",2014,2,0,0,False,False,2
Chopping down trees vs. sharpening the axe - Balancing the development of BPM capabilities with process improvement,2014,3,0,0,False,False,3
Exploration of a Method for COSMIC Size Estimation from S-BPM,2014,3,0,0,False,False,3
Towards planning and control of business processes based on event-based predictions,2014,4,0,0,False,False,4
